scrutin_ref,senateur_ref,position
senat-2020-2,14219Q,pour
senat-2020-2,01048V,pour
senat-2020-2,14059S,pour
senat-2020-2,19441R,pour
senat-2020-2,19657G,pour
senat-2020-2,14251Q,pour
senat-2020-2,14031R,pour
senat-2020-2,14111D,pour
senat-2020-2,11085T,pour
senat-2020-2,19826F,pour
senat-2020-2,08009T,pour
senat-2020-2,14221J,pour
senat-2020-2,04057K,pour
senat-2020-2,19563B,pour
senat-2020-2,14147R,pour
senat-2020-2,19671E,pour
senat-2020-2,14223L,pour
senat-2020-2,04092N,pour
senat-2020-2,19335Q,pour
senat-2020-2,19369B,pour
senat-2020-2,08011M,pour
senat-2020-2,04070G,pour
senat-2020-2,14071N,pour
senat-2020-2,20096L,pour
senat-2020-2,92040Q,pour
senat-2020-2,14169X,pour
senat-2020-2,19768N,pour
senat-2020-2,14253S,pour
senat-2020-2,19573D,pour
senat-2020-2,19866P,pour
senat-2020-2,14191V,pour
senat-2020-2,20050V,pour
senat-2020-2,08047A,pour
senat-2020-2,14237S,pour
senat-2020-2,17637T,pour
senat-2020-2,14193X,pour
senat-2020-2,19745F,pour
senat-2020-2,20148F,pour
senat-2020-2,19533U,pour
senat-2020-2,20118Y,pour
senat-2020-2,19319Q,pour
senat-2020-2,05012A,pour
senat-2020-2,11090Q,pour
senat-2020-2,19739H,pour
senat-2020-2,17583W,pour
senat-2020-2,04043D,pour
senat-2020-2,19679N,pour
senat-2020-2,19443T,pour
senat-2020-2,14331P,pour
senat-2020-2,14055N,pour
senat-2020-2,19766L,pour
senat-2020-2,10015M,pour
senat-2020-2,19705W,pour
senat-2020-2,11012A,pour
senat-2020-2,04033B,pour
senat-2020-2,19798U,pour
senat-2020-2,20054A,pour
senat-2020-2,20020P,pour
senat-2020-2,14107H,pour
senat-2020-2,19619A,pour
senat-2020-2,19421M,pour
senat-2020-2,20044X,pour
senat-2020-2,11097X,pour
senat-2020-2,11043H,pour
senat-2020-2,20098N,pour
senat-2020-2,19762G,pour
senat-2020-2,01058X,pour
senat-2020-2,19703U,pour
senat-2020-2,19713W,pour
senat-2020-2,20062A,pour
senat-2020-2,20136B,pour
senat-2020-2,14275Y,pour
senat-2020-2,19675J,pour
senat-2020-2,01034P,pour
senat-2020-2,20026V,pour
senat-2020-2,19749K,pour
senat-2020-2,19479G,pour
senat-2020-2,20122U,pour
senat-2020-2,20058E,pour
senat-2020-2,14173T,pour
senat-2020-2,19585H,pour
senat-2020-2,19651A,abstention
senat-2020-2,19782L,abstention
senat-2020-2,19659J,abstention
senat-2020-2,11083R,abstention
senat-2020-2,19329S,abstention
senat-2020-2,20106U,abstention
senat-2020-2,20128B,abstention
senat-2020-2,19591F,abstention
senat-2020-2,20016T,abstention
senat-2020-2,19697Q,abstention
senat-2020-2,19637C,abstention
senat-2020-2,11072N,abstention
senat-2020-2,08073C,abstention
senat-2020-2,08061X,abstention
senat-2020-2,20146D,abstention
senat-2020-2,19349W,abstention
senat-2020-2,95063L,abstention
senat-2020-2,20150Y,abstention
senat-2020-2,04045F,abstention
senat-2020-2,19301E,abstention
senat-2020-2,04034C,abstention
senat-2020-2,86034E,nonVotant
senat-2020-2,99004R,nonVotant
senat-2020-2,11109J,nonVotant
senat-2020-2,19760E,nonVotant
senat-2020-2,19631V,nonVotant
senat-2020-2,04085P,nonVotant
senat-2020-2,04059M,nonVotant
senat-2020-2,20112S,nonVotant
senat-2020-2,20110Q,nonVotant
senat-2020-2,11033F,nonVotant
senat-2020-2,19549D,nonVotant
senat-2020-2,20094J,nonVotant
senat-2020-2,11040E,nonVotant
senat-2020-2,08060W,nonVotant
senat-2020-2,20088L,nonVotant
senat-2020-2,20114U,nonVotant
senat-2020-2,20080C,nonVotant
senat-2020-2,19758L,nonVotant
senat-2020-2,20060X,nonVotant
senat-2020-2,12028B,nonVotant
senat-2020-2,11031D,nonVotant
senat-2020-2,19295A,nonVotant
senat-2020-2,11027H,nonVotant
senat-2020-2,20070A,nonVotant
senat-2020-2,11056N,nonVotant
senat-2020-2,19525U,nonVotant
senat-2020-2,11065P,nonVotant
senat-2020-2,19251M,nonVotant
senat-2020-2,20134Y,nonVotant
senat-2020-2,14151M,nonVotant
senat-2020-2,11074Q,nonVotant
senat-2020-2,11110B,nonVotant
senat-2020-2,19647E,nonVotant
